"","X5","X4","X7","X6","X9","X11"
"ASV1",0.352886316569062,0.124154843229988,0.0231812437520041,0.14373272443216,0.0610328638497653,0.00312899272509191
"ASV2",0.122666739813202,0.00126116657908565,0.00167870682988475,0.285288894230127,0.0215138785931966,0
"ASV6",0,0.000350324049746015,0,8.01185754917278e-05,0.00011531175356231,0
"ASV8",0.1409488019969,0.000245226834822211,0.000358375615368655,0.107933074283273,0.000247096614776378,0
"ASV9",0.0751717800666548,0.000385356454720617,0,0.232637637036147,0.000280042830079895,0.000104299757503064
"ASV10",0.000246869556869145,0.000280259239796812,0,0.000774479563086702,0.107800016473108,0.00117337227190947
"ASV11",0,0,0.472301337306902,0,0,0
"ASV12",0,0,0,0,0,0
"ASV14",0,0,0.00124488371654375,0.000173590246898743,0,0.00404161560324372
"ASV15",0,0,0,0,0.0129313895066304,0.399363771479231
"ASV16",0,0,0,1.3353095915288e-05,0.00105427888971254,0.0535318505384475
"ASV17",0.0916708954507427,0.000595550884568226,0.000226342493917045,0.0754984043050381,0,0
"ASV18",0,0,0,0,0.169228234906515,0
"ASV19",0,0.000630583289542827,0,0,8.23655382587925e-05,0
"ASV20",0,3.50324049746015e-05,0.0397796933059207,0,8.23655382587925e-05,0.00153842142317019
"ASV21",0.00944961803793562,0,0.000452684987834091,0.0367877792466183,0.0121077341240425,0.000808323120648744
"ASV22",0,0,0,0,0.117930977678939,0.00881332950900889
"ASV23",0,0,0,0,0,0
"ASV24",0,0,0,0,0,0
"ASV25",0.0161013810980209,0.000175162024873008,0.00013203312145161,0.00052077074069623,0,0
"ASV27",0,0,0,0,0.101276665843011,0
"ASV28",0,0,0,0,0,0
"ASV29",0.00067203379369934,0,0.000358375615368655,0.00885310259183592,0.00275100897784367,0
"ASV30",0,0,5.65856234792614e-05,0,0,0
"ASV31",0,0,0,0,0,0
"ASV32",0,0,0,0,0,0
"ASV33",0,0,0,0,0.0695824067210279,0
"ASV34",0.000123434778434573,0,0,0.000106824767322304,0,0.0545226982347266
"ASV35",0,0,0,0,0.00383823408285973,0.0071966832677114
"ASV36",0,0.107199159222281,0.000358375615368655,0,0,0
"ASV40",0,0.0985111227885794,0,0,0,0
"ASV41",0,0,0,0,0,0.108393522985059
"ASV42",0,0,0,0,0.0523680092249403,0
"ASV46",0.0172260090793137,0,0,0,0,0
"ASV47",0,0,0,0,0.0378222551684375,0.00920445359964538
"ASV48",0.000137149753816192,0,0.000811060603202746,0,0.00850012354830739,0
"ASV49",0,0.000210194429847609,0,0,0.000461247014249238,0.00438058981512868
"ASV50",0,0,0,0,0,0
"ASV54",0.000384019310685337,0,7.54474979723485e-05,0.00172254937307215,0.0105922082200807,0.000156449636254596
"ASV55",0.00253727044559955,0.0136976703450692,0.0227096968896769,0.00408604735007812,0,0
"ASV58",0,0,0.000660165607258049,0,0,0.000104299757503064
"ASV60",0.00820155527820828,0.00318794885268874,0.000207480619423958,0.00536794455794576,0.00224034264063916,0.000312899272509191
